label,Accuracy,AUC
B1 PHYSICS_NORM | in-dist,0.9966442953020134,0.9999426966935993
B1 PHYSICS_NORM | OOD,0.9857142857142858,0.999754856897714
B2 PHYSICS_RAW (ablation) | in-dist,0.9932885906040269,0.9998685583703635
B2 PHYSICS_RAW (ablation) | OOD,0.9857142857142858,0.9878997490741176
B3 ORBITAL_ELEM | in-dist,1.0,
B3 ORBITAL_ELEM | OOD,1.0,
B4 ALL_PHYSICS (norm + dynamics) | in-dist,0.9966442953020134,0.9999426966935993
B4 ALL_PHYSICS (norm + dynamics) | OOD,0.9964285714285714,0.9999387142244286
